AREA,PERIMETER,CODCOMP,DEPTO,LOCALIDAD,SECCION,SEGMENTO,ZONA,CCZ,ASENTA,TOT_VIV,VIV_PAR,VIV_CO,VP_OCUPAD,VP_DESO,HOG_PAR,TOT_POB,CAT_POB,ED_0_5,ED_6_14,ED_15_24,ED_25_64,ED_65,CODSEG,CODSEC,CENTROIDE_LAT,CENTROIDE_LONG,CENT_X_SEGUN_ARCH,CENT_Y_SEGUN_ARCH
5041.090648,303.758016,113252104,1,20,13,252,104,17,SI,17,17,0,17,0,17,79,3,9,19,15,32,4,113252,113,-34.8748797531,-56.2729124252,566449.4031277894,6140591.0655938815
20658.390625,588.379661,113031003,1,20,13,31,3,17,NO,33,33,0,30,3,30,83,3,8,8,9,39,19,113031,113,-34.8755202132,-56.265439378,567131.8661614094,6140515.0589541
10412.376595,408.184772,113026009,1,20,13,26,9,17,NO,31,31,0,28,3,29,88,3,10,10,14,44,10,113026,113,-34.8754162829,-56.2572049104,567884.5183949023,6140521.036452542
9736.890625,395.091080,113029010,1,20,13,29,10,17,NO,28,28,0,26,2,26,82,3,8,9,11,44,10,113029,113,-34.8754381291,-56.25053508,568494.072428488,6140514.07454925
6815.618949,400.557333,113252015,1,20,13,252,15,17,SI,21,21,0,19,2,20,75,3,15,12,11,33,4,113252,113,-34.8754530236,-56.2719671584,566535.3318997676,6140526.864299331
9586.300327,392.033235,113026006,1,20,13,26,6,17,NO,30,30,0,28,2,30,103,4,16,17,11,45,14,113026,113,-34.87556108,-56.2582694791,567787.1060143646,6140505.69961818
9670.953125,393.523536,113029011,1,20,13,29,11,17,NO,12,12,0,10,2,10,31,2,6,1,3,12,9,113029,113,-34.8755824502,-56.2516167803,568395.093646852,6140498.808666791
11056.294897,421.212202,113023006,1,20,13,23,6,17,NO,20,20,0,19,1,19,66,3,8,6,16,33,3,113023,113,-34.8757020011,-56.2593597585,567687.3474058666,6140490.80895294
9785.250000,395.714897,113027018,1,20,13,27,18,17,NO,30,30,0,24,6,24,75,3,4,8,13,29,21,113027,113,-34.8757271243,-56.2526948056,568296.4507969347,6140483.500050923
10191.156250,403.741780,113023001,1,20,13,23,1,17,NO,33,33,0,33,0,33,101,4,14,17,10,49,11,113023,113,-34.8758486239,-56.2604924252,567583.7106177495,6140475.313487708
9946.203125,398.976163,113027015,1,20,13,27,15,17,NO,29,29,0,23,6,23,71,3,6,9,11,32,13,113027,113,-34.8758747127,-56.2537817523,568196.9905455664,6140467.873274452
6190.117717,323.045365,113030008,1,20,13,30,8,17,NO,26,26,0,21,5,21,65,3,6,12,12,25,10,113030,113,-34.875871444,-56.2470259732,568814.4172218788,6140463.616663325
12542.999817,450.625493,113028010,1,20,13,28,10,17,NO,27,27,0,24,3,24,92,3,9,14,22,35,12,113028,113,-34.8760092479,-56.2480393935,568721.6840304156,6140449.030145281
